Year,Average Ticket Price,Attendance,Avg Ticket Price
1985,19,470506,54.84
1986,19,470339,54.25
1987,19,394675,51.94
1988,23.1,480039,60.48
1989,23.5,483426,58.8
1990,28.5,506176,67.2
1991,35,478570,80.07
1992,35.75,0,79.48
1993,35.75,501476,77.36
1994,39.75,516808,83.75
1995,39.75,518928,81.7
1996,45,438564,89.52
1997,45,502351,88.02
1998,50,0,96.25
1999,50,544231,93.73
2000,50,541960,90.66
2001,50,539756,89.27
2002,58,541593,101.15
2003,58,540644,99.29
2004,64,518271,106.1
2005,64,523426,102.6
2006,63.7,545207,99.59
2007,62.37,544226,93.69
2008,70.55,0,105.88
2009,70.54,557856,103.06
2010,76.39,488124,109.96
2011,83.54,557856,116.79
2012,83.54,557856,114.79
2013,83.54,557856,113.09
2014,117,566192,157.2
2015,117,566392,156.06
2016,117,561424,152.89
2017,116.98,561155,149.71
2018,116.98,553190,146.9
2019,116.98,562443,143.62
2020,139.71,0,169.22
2021,139.71,533364,158.1
2022,144.81,644661,153.93
2023,161,573245,165.59
